library,Bacteroides,Blautia,Phocaeicola,Peptacetobacter,Fusobacterium,Clostridium,Clostridioides,Selenomonas,Prevotella,Ruminococcus,Bacillus,Collinsella,Mediterraneibacter,Sutterella,Paraclostridium,Veillonella,Megamonas,Staphylococcus,Dialister,Helicobacter,Glucerabacter,Paenibacillus,Terrisporobacter,Peptostreptococcus,Megasphaera,Butyrivibrio,Porphyromonas,Halobacillus,Lachnoclostridium,Eubacterium,Lacrimispora,Faecalimonas,Pectinatus,Lachnospira,Brevibacillus,Paeniclostridium,Lactiplantibacillus,Lysinibacillus,Enterococcus,Exiguobacterium,others
Patti01,12.95,12.68,8.92,7.2,5.95,3.49,2.81,2.28,2.21,2.08,2.07,2.0,1.9,1.52,1.31,1.25,1.19,0.98,0.9,0.74,0.73,0.72,0.64,0.48,0.45,0.45,0.41,0.37,0.37,0.31,0.29,0.26,0.24,0.22,0.21,0.18,0.18,0.16,0.16,0.15,18.589999999999947
Patti02,0.03,29.19,0.01,24.97,0.04,5.74,8.99,0.01,0.01,0.56,0.49,2.73,2.61,0,3.63,0.01,0,0.27,0.01,0,0.11,0.1,2.38,1.26,0,0.87,0,0.01,0.51,0.34,0.32,0.51,0,0.04,0.03,0.49,0,0.02,0.05,0,13.659999999999982
