library,Eubacteriales,Bacteroidales,Fusobacteriales,Bacillales,Selenomonadales,Veillonellales,Coriobacteriales,Burkholderiales,Lactobacillales,Campylobacterales,Flavobacteriales,Erysipelotrichales,Sphingobacteriales,Enterobacterales,Tissierellales,Streptomycetales,Pseudomonadales,Halanaerobiales,Acidaminococcales,Micrococcales,Thiotrichales,Thermoanaerobacterales,Xanthomonadales,Methylococcales,Hyphomicrobiales,Alteromonadales,Marinilabiliales,Chitinophagales,Cytophagales,Acholeplasmatales,Synechococcales,Oscillatoriales,Corynebacteriales,Sphingomonadales,others
Patti01,41.4,26.19,9.92,6.61,4.03,2.93,2.0,1.6,1.16,0.74,0.15,0.15,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.749999999999929
Patti02,94.76,0.05,0.08,1.22,0.01,0.01,2.74,0.07,0.23,0,0,0.02,0,0.03,0,0.02,0.02,0,0,0.03,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0,0.01,0,0.6399999999999721
