library,Bacteroidaceae,Lachnospiraceae,Peptostreptococcaceae,Fusobacteriaceae,Selenomonadaceae,Clostridiaceae,Bacillaceae,Veillonellaceae,Oscillospiraceae,Prevotellaceae,Coriobacteriaceae,Sutterellaceae,Staphylococcaceae,Paenibacillaceae,Lactobacillaceae,Helicobacteraceae,Porphyromonadaceae,Eubacteriaceae,Enterococcaceae,Erysipelotrichaceae,Flavobacteriaceae,Streptococcaceae,Tannerellaceae,Planococcaceae,Eubacteriales Family XIII. Incertae Sedis,Peptococcaceae,Sphingobacteriaceae,Clostridiales Family XVII. Incertae Sedis,Alcaligenaceae,Peptoniphilaceae,Tenuifilaceae,Enterobacteriaceae,Barnesiellaceae,Burkholderiaceae,Weeksellaceae,Acidaminococcaceae,Streptomycetaceae,Sporomusaceae,Aerococcaceae,Pseudomonadaceae,others
Patti01,22.8,19.46,13.93,9.92,4.0,3.83,3.7,2.93,2.28,2.28,2.0,1.52,1.05,0.95,0.77,0.74,0.41,0.35,0.16,0.15,0.13,0.13,0.07,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,5.890000000000057
Patti02,0.04,38.84,45.38,0.08,0.01,6.49,0.71,0.01,0.77,0.01,2.74,0,0.29,0.14,0.14,0,0,0.4,0.05,0.02,0,0.03,0,0.01,0.13,0.05,0,0,0.06,0,0,0.01,0,0.01,0,0,0.02,0,0,0.02,3.539999999999992
